,word,tf-idf
0,제품,0.33133467900755076
1,세탁기,0.2426013129347501
2,삼성,0.22534242758502962
3,사용,0.19885589213919508
4,건조기,0.1960348864251269
5,상담,0.1889406398995676
6,기능,0.18673725051298373
7,설치,0.17486832892075274
8,냉장고,0.15864403583403927
9,선택,0.14653770579951347
10,구매,0.14404658114792107
11,서비스,0.13743641298816944
12,고객,0.13413132890829363
13,세탁,0.13025573848845642
14,확인,0.12834743176851093
15,가전,0.12641946605525006
16,모델,0.12118641626211334
17,문의,0.11925845054885244
18,추천,0.11760590850891453
19,효율,0.10290203340588058
20,할인,0.09606360713523662
21,가격,0.09557201464307574
22,김치냉장고,0.09313285301924634
23,건조,0.09280721367302519
24,가전제품,0.08889954151837151
25,렌탈,0.08727134478726581
26,용량,0.08620760975009426
27,에어컨,0.08596878740238123
28,경우,0.08538133873012531
29,문제,0.0818008309769265
30,인터넷,0.07945600047795841
31,제공,0.07587396766952587
32,방법,0.07078388404400711
33,지원,0.07078388404400711
34,비교,0.06968218935071517
35,해결,0.06870990205266077
36,참고,0.06870990205266077
37,김치,0.06805862336021848
38,내용,0.0674787999641313
39,브랜드,0.06665252894416233
40,비용,0.06643042662911278
41,혜택,0.06545350859044935
42,환급,0.06512786924422821
43,에너지,0.06480222989800707
44,방문,0.06382531185934365
45,고려,0.06349967251312251
46,예약,0.06284839382068022
47,디자인,0.06252275447445908
48,신청,0.06252275447445908
49,아래,0.061694902824348606
50,도어,0.06024327905091109
51,오브,0.06024327905091109
52,센터,0.05600996755003626
53,발생,0.05508473466459697
54,트롬,0.05458086915514357
55,드럼세탁기,0.05419377079234113
56,도움,0.052881345278013095
57,이용,0.05260592160469011
58,컬렉션,0.05145101670294029
59,가입,0.05145101670294029
60,추가,0.04985168487146026
61,온라인,0.04985168487146026
62,점검,0.04852026258695002
63,공식,0.04819462324072887
64,드럼,0.048000196987502144
65,홈페이지,0.0473728718115534
66,청소,0.0473728718115534
67,가능,0.046892065855844316
68,쿠팡,0.046892065855844316
69,공간,0.04682202446490743
70,챗봇,0.04624078716340203
71,사은,0.04461259043229633
72,관리,0.04434321140500056
73,고장,0.04428695108607519
74,진행,0.04331003304741176
75,세척,0.04331003304741176
76,답변,0.042139822018416685
77,질문,0.042139822018416685
78,누수,0.04103728780327222
79,스포크,0.04070491827764263
80,성능,0.04070491827764263
81,상품,0.04037927893142149
82,통해,0.0399364326318328
83,수리,0.039728000238979204
84,엘지,0.03940236089275807
85,가장,0.03911016161186385
86,내부,0.03907672154653693
87,정보,0.038283890591894895
88,요금,0.03744852481543122
89,디오스,0.0364716067767678
90,자동,0.036355924878634004
91,위해,0.036355924878634004
92,기준,0.03614596743054666
93,기간,0.03608050120531102
94,코스,0.03600014774062661
95,정리,0.03484341004566209
96,최신,0.03451777069944095
97,업체,0.03451777069944095
98,판매,0.034192131353219815
99,구독,0.03415253549205012
100,으뜸,0.03406465592661442
101,때문,0.03305084079875818
102,안내,0.0327754171254352
103,대해,0.0327754171254352
104,고민,0.032563934622114106
105,세제,0.032563934622114106
106,직접,0.032499993452112214
107,스팀,0.03223829527589296
108,보관,0.03223829527589296
109,전문,0.031949146105466245
110,일반,0.031949146105466245
111,식기세척기,0.031912655929671824
112,유지,0.03167372243214326
113,관련,0.03167372243214326
114,기술,0.03126137723722954
115,원인,0.03126137723722954
116,스마트,0.03061009854478726
117,활용,0.030284459198566118
118,소비자,0.02995881985234498
119,최대,0.02995881985234498
120,스탠드,0.029806573935787624
121,빨래,0.029806573935787624
122,색상,0.029307541159902695
123,냄새,0.02836863835226744
124,가지,0.028093214678944455
125,전원,0.02800498377501813
126,시스템,0.02800498377501813
127,방식,0.02800498377501813
128,모터,0.02787108212177544
129,가성,0.02781779100562147
130,매장,0.02767934442879699
131,차이,0.027542367332298485
132,현재,0.02735370508257585
133,타워,0.027028065736354707
134,구성,0.027028065736354707
135,살균,0.027028065736354707
136,장점,0.026716096312329532
137,불편,0.026322688670565694
138,세탁물,0.026322688670565694
139,운영,0.026165248965683563
140,대한,0.025889825292360575
141,정수기,0.025725508351470146
142,보증,0.02554849194496082
143,파트너,0.025399869005249
144,품질,0.02507422965902786
145,도우미,0.02507422965902786
146,절약,0.024748590312806722
147,결합,0.024748590312806722
148,리뷰,0.02442295096658558
149,일부,0.02442295096658558
150,사항,0.024097311620364437
151,세트,0.024000098493751072
152,소음,0.023771672274143296
153,해당,0.0236864359057767
154,전기,0.023446032927922158
155,접수,0.023446032927922158
156,연결,0.023411012232453714
157,후기,0.023135588559130726
158,조건,0.023120393581701017
159,메뉴,0.022309317539161773
160,요청,0.022143475543037593
161,가구,0.022143475543037593
162,기사,0.02203389386583879
163,인기,0.02203389386583879
164,상태,0.02203389386583879
165,온도,0.02203389386583879
166,유선,0.02203389386583879
167,무상,0.021817836196816452
168,인버터,0.021817836196816452
169,특징,0.021817836196816452
170,수수료,0.021817836196816452
171,정도,0.021758470192515804
172,사용자,0.021492196850595308
173,설정,0.021207622845869835
174,상황,0.02093219917254685
175,포함,0.02093219917254685
176,필수,0.02093219917254685
177,예산,0.02084091815815303
178,준비,0.02084091815815303
179,교체,0.02084091815815303
180,요즘,0.020656775499223866
181,분해,0.020516213228529145
182,냉장,0.020516213228529145
183,케어,0.020515278811931888
184,라면,0.020381351825900878
185,지금,0.020381351825900878
186,링크,0.020189639465710747
187,로봇청소기,0.020189639465710747
188,배송,0.020189639465710747
189,가족,0.020105928152577893
190,생각,0.01983050447925491
191,블로그,0.019555080805931924
192,기본,0.019538360773268464
